SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_ONS_CODE,SUB_ICB_LOCATION_NAME,ICB_ONS_CODE,ICB_NAME,REGION_ONS_CODE,REGION_NAME,APPOINTMENT_MONTH,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,1 Day,509
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,15  to 21 Days,66
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,2 to 7 Days,674
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,22  to 28 Days,46
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,8  to 14 Days,139
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,More than 28 Days,2
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,GP,Video/Online,Same Day,3543
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,1 Day,6307
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,11040
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,23918
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,7546
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,19948
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,More than 28 Days,7840
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,Same Day,23941
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,34
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,1 Day,205
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,15  to 21 Days,36
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,2 to 7 Days,251
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,22  to 28 Days,11
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,8  to 14 Days,77
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,More than 28 Days,7
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,Same Day,1283
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,50
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,1 Day,2327
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,15  to 21 Days,1508
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,2 to 7 Days,3904
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,22  to 28 Days,998
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,8  to 14 Days,2193
11X,E38000150,NHS Somerset ICB - 11X,E54000038,NHS Somerset Integrated Care Board,E40000006,South West,JUL2023,Attended,Other Practice staff,Telephone,More than 28 Days,982
